Model Name,Val Accuracy,Val Acc Epoch,Test Accuracy,Test Acc Epoch,Val F1,Val F1 Epoch,Test F1,Test F1 Epoch
model_cnn2_dataset_2_bs_512_lr_0.0005_embed_300_classes_5_f1_weigh,0.7892767786979675,19,0.7892767786979675,19,0.7892767786979675,19,0.7892767786979675,19
model_cnn2_dataset_2_bs_128_lr_0.0001_embed_300_classes_5_f1_weigh,0.7892767786979675,28,0.7892767786979675,28,0.7892767786979675,28,0.7892767786979675,28
model_cnn2_dataset_2_bs_512_lr_0.001_embed_300_classes_5_f1_weigh,0.7880299091339111,5,0.7880299091339111,5,0.7880299091339111,5,0.7880299091339111,5
model_lstm2_dataset_2_bs_32_lr_0.0001_embed_300_classes_5_f1_weigh,0.7855361700057983,30,0.7855361700057983,30,0.7855361700057983,30,0.7855361700057983,30
model_lstm3_dataset_2_bs_32_lr_0.001_embed_300_classes_5_f1_weigh_load_sst2,0.7855361700057983,47,0.7855361700057983,47,0.7855361700057983,47,0.7855361700057983,47
model_gru3_dataset_2_bs_128_lr_0.001_embed_300_classes_5_f1_weigh_load_sst2,0.7842893004417419,21,0.7842893004417419,21,0.7842893004417419,21,0.7842893004417419,21
model_lstm3_dataset_2_bs_128_lr_0.001_embed_300_classes_5_f1_weigh_load_sst2,0.7830423712730408,63,0.7830423712730408,63,0.7830423712730408,63,0.7830423712730408,63
model_gru3_dataset_2_bs_32_lr_0.001_embed_300_classes_5_f1_weigh_load_sst2_freeze_rec,0.7817955017089844,36,0.7817955017089844,36,0.7817955017089844,36,0.7817955017089844,36
model_cnn2_dataset_2_bs_128_lr_0.001_embed_300_classes_5_f1_weigh,0.7793017625808716,2,0.7793017625808716,2,0.7793017625808716,2,0.7793017625808716,2
model_cnn2_dataset_2_bs_128_lr_0.0005_embed_300_classes_5_f1_weigh,0.7793017625808716,10,0.7793017625808716,10,0.7793017625808716,10,0.7793017625808716,10
model_cnn_dataset_2_bs_128_lr_0.0005_embed_300_classes_5_f1_weigh,0.7780548334121704,73,0.7780548334121704,73,0.7780548334121704,73,0.7780548334121704,73
model_rnn3_dataset_2_bs_64_lr_0.001_embed_300_classes_5_f1_weigh,0.776807963848114,48,0.776807963848114,48,0.776807963848114,48,0.776807963848114,48
model_lstm_dataset_2_bs_128_lr_0.0001_embed_300_classes_5_f1_weigh,0.7755610942840576,60,0.7755610942840576,60,0.7755610942840576,60,0.7755610942840576,60
model_cnn_dataset_2_bs_64_lr_0.001_embed_300_classes_5_f1_weigh,0.7743142247200012,62,0.7743142247200012,62,0.7743142247200012,62,0.7743142247200012,62
model_rnn3_dataset_2_bs_32_lr_0.001_embed_300_classes_5_f1_weigh,0.7743142247200012,12,0.7743142247200012,12,0.7743142247200012,12,0.7743142247200012,12
model_cnn_dataset_2_bs_32_lr_0.001_embed_300_classes_5_f1_weigh,0.7718204259872437,47,0.7718204259872437,47,0.7718204259872437,47,0.7718204259872437,47
model_gru3_dataset_2_bs_32_lr_0.001_embed_300_classes_5_f1_weigh,0.7705735564231873,56,0.7705735564231873,56,0.7705735564231873,56,0.7705735564231873,56
model_gru3_dataset_2_bs_128_lr_0.0005_embed_300_classes_5_f1_weigh_load_sst2,0.7680798172950745,28,0.7680798172950745,28,0.7680798172950745,28,0.7680798172950745,28
model_rnn_dataset_2_bs_32_lr_0.0005_embed_300_classes_5_f1_weigh,0.7655860185623169,3,0.7655860185623169,3,0.7655860185623169,3,0.7655860185623169,3
model_gru_dataset_2_bs_32_lr_0.0005_embed_300_classes_5_f1_weigh,0.7643391489982605,11,0.7643391489982605,11,0.7643391489982605,11,0.7643391489982605,11
