,Rating,Review,Length
0,3,issue,1
1,4,purchase device work advertise never much phone memory since download lot stuff brainer,13
2,3,work expect spring higher capacity think make bite cheesier earlier versions paint look clean,14
3,4,think work greathad diff bran 64gb card go south 3 monthsthis one hold pretty well since s3 note3 update 32114ive months zero issue since transfer s3 note3 note2 card reliable solidcheers,31
4,4,buy retail package arrive legit orange envelope english version asian like picture show arrive quickly buy 32 16 retail package htc one sv lg optimus card work order probably best price youll get nice sd card,36
5,4,mini storage doesnt anything else suppose purchase add additional storage microsoft surface pro tablet come 64 128 gb suppose sandisk long stand reputation speak,24
6,4,phone never skip beat file transfer speedy corruption issue memory fade issue would expect sandisk brand great card entrust precious file slightly cheaper piece crap lose everything forgive spend extra couple buck trust product go good qa,37
7,4,hard believe affordable digital become 32 gb device one quarter sie postage stamp would science fiction less generation agoi pick portable music didnt want schlep risk phone ipod work great sd card readersselect confidence,34
8,4,work htc rezound run short space 64gb sandisk order come fast issue,12
9,4,galaxy s4 super fast card totally happy happy still type fill require word though,14
10,4,like sd card take music video download personal videos filesdocs multimedia image fast transfer rate class 10 speed take game large file easily still enough space apps it34s great video cameras camcorders supply adapter fit easily smartphones tablets sd card slot recommend 32gb sd card everyone,46
11,2,work file write bite slower expect usb3 readeralso read write faster card inside standardsize sd adapter 15 mbs vs 10 write 45 mbs vs 22 mbs read card reader cant figure,31
12,4,name speak go sandisk go,5
13,4,solid sdhc card fast read write fast record video pics great capacity reasonably price issue itoverall highly recommend,18
14,4,hear card write speed insufficient however use extensively havent single problem,11
15,4,buy use go pro hero 3 black edition require class 10 microsdxc card far ive issue fast readwrite come adapter small package thats need come nice hard plastic case keep dry together need,33
16,4,get 2 gb one fill keep get insufficient disk space phone kid take phone selfies mostly daughter get bigger card 2gb one carry old phoneneedless say sweet plenty space dont delete picture anymore well leastmy daughter love selfies,38
17,4,class 10 speed rat seamless full hd videothe sandisk ultra uhsi card feature class 10 uhs speed class 1 u1 rat highest video performance available record uninterrupted full hd videoflawless app performancethis card retrieve store data almost instantly thank 30mbs read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi card offer faster app load smoother fluid app performancestorage capacities 64gbthis card plenty room accommodate full hd videos mp3s apps memoryintensive mobile file available size 64gb store apps music video wantandroid app easy file managementthe include sandisk memory zone app let easily view access backup digital file phone memory additional memory card cloud service one convenient place use app easily move file card number cloud storage servicesdurable designsandisk ultra uhsi memory card capture memories 13 185 degrees fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card,139
18,4,read write speed better samsung sd card previously would hesitate buy another one great micro sd card sandisk also clip plus mp3 player work well think im become fan sandisk products,31
19,4,work nl1520 video stutter like 64gb blah blah blah blah fill rest,12
20,4,work expect high transfer speed nice extra microsd adapters lie around since always seem misplace mainly buy use nikon dslr since put card directly cm modded nook hd tablet field view image larger screen,34
21,4,work great samsung galaxy s3 format straight away full size cant really tell speed difference one slower card replace guess io phone cant take advantage,25
22,4,sandisk never disappoint always sandisk products worth every penny nice product quality work great recommend product everyone,17
23,4,good price work flawless samsung s4 normal sandisk quality go brand brand,12
24,4,san disk hard beat pay brand get quality product would purchase,11
25,4,instal blackberry q10 sqn1001 format work fine plenty storage space picture videos son park,14
26,4,receive card class 10 64gb correct serialsdsdqua064ga11a receive unopened sandisk package go use htc rezound hope work read work reformatting disk update review issue use rat remain unchanged,28
27,4,stick s2 format settings work great already fill music pics videos get card format right youll problems phone wont right get samsung haha,23
28,4,purchase two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meet need,16
29,4,advertise specs match long device use handle ie usb 30 crapple bs deliver advertise speed ps speed read write know right,21
30,4,item great cant believe small imagine 64gb size back 70s whole build full computers couldnt pack much space great item,20
31,4,ive try get hold 32gb micro sd phone tablet pretty fast compare 16gb card ive use really saw performance boost phone many apps picture music document phone boot fully stable 2 mins appose 56 mins computer also write card much faster 16gb ones use phone tablet device support recommend purchase also pay like half price use amazon oppose retail store whos price least double ive see card go 72 area,70
32,0,buy 2 sandisk 32 gb microsd use galaxy note galaxy s4first one phone start say remove recognize diedi think luck plug 2nd one stay 2 months die suddenly lose everythingnever buy sandisk ever,33
33,3,memory card excellent condition work describe dependable easy use excellent choice enthusiast require storage,14
34,4,ive get couple vary size ive problems complaints speed always end buy price low get,15
35,4,8 gigs memory note 2 run room much memory space available dont know,13
36,4,buy surface pro ive months ive problems fast stable,9
37,4,would recommend card everyonedata transfer speed excellent card galaxy s2 didnt need format card anything 100 satisfy,17
38,0,bougth micro sd card trubles get kingston tell sandisk quality best i9300 phone read 64gb fast dta transfer speed pc amaze look additional storage phone music picture type file youprosvery good quality materials constructionamazing speedupdate one year memory damage delete put new file format memory try format phone pc camera nothing like 64gb cd data memory available read move delete buy memory use backup data android device readable memory write data hope sandisk make better products future total disagree buy samsung memory card expect better quality,86
39,4,use contout gps camera dont waste time buy brand waste buy best start,13
40,4,fantastic little drive gigabytes say work ways discern use hold flac record play excellent fiio x5 digital audio player real thing one fake evidently,24
41,4,happy micro sd could tell difference response time bb curve well asus tablet want something transfer file photos videos music faster micro sd card say faster card price trick devices professional photographer might want go ultra 3 micro sd everyday user work wonder device,44
42,4,ive purchase several little baby years always buy sandisk ive never one fail price great amount storage get,18
43,0,order galaxy s3 last months break accessible several different pcssays limit lifetime warranty bs one month eco zone lose picture crappy return policyin future buy kingston sandiskupdate amazon customer service make good refund purchase price still buy sandisk memory card however,41
44,3,like 8mbs note 101 thats use sandisks app bite faster note ii still disappointment devices quad core processors sure card device benefit doubt four star,25
45,4,much say plug play good quality fit lot video good good good,12
46,4,new camcorder require fast sd micro sandisk products always provide first class service extra cost well worth,17
47,4,tiny marvel claim possible problem small may lose happen drop handle 16 gb capacity wont handle often,17
48,4,job price right come quickly im happy purchase would recommend would,11
49,1,use months phone decide quit mount lose picture pet die shortly get replacement card send old one give chance recover content new ones work fine fail 3 months inexcusable,29
50,4,memory card either work doesnt always go one star five star review middle groundthe adapter nice bonus though dont think anything use,22
51,4,purchase card use contourroam2 work great put card camera format good go allow easily record hours 720p60fps video without run space slow,22
52,4,upgrade 32gb 64gb card galaxy note phone look like work fine full capacity good product,15
53,3,everything great except adapter tight use tool take back adapter cause chip fault guess also buy 16gb version adapter one fine,21
54,4,like first one purchase much buy second one fast read write speed good price plus sandisk best software device compatibility forget thumb drive flexible durable option use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedy upgradeable thumb drive work great tablet newer card reader still kick butt every thumb drive know even use old plastic usb 20 card reader hold together scotch tape lol purchase several microsd card since first come 2gb 32gb still work fine cannot say thumb drive purchase time periodone point beware counterfeit samsung number one brand unfortunately get counterfeit lot check review buy reliable seller suggest buy direct amazon memory mogul purchase issue,113
55,4,really cant say anything bad say super fast great storage size lot movies,13
56,3,use phone plenty fast work like unexpectedly come mini full sd card size adapters nice 34foolproof34 package whatever laughable package decent shouldnt brag impossible mess mess,26
57,4,standard micro sd card would recommend anyone purchase dad use expand memory tablet ship fast slight bite cheaper store believe,20
58,4,order new samsung galaxy note ii work awesome instal problems load music didnt even scratch surface capacity card shouldnt ever worry run outta room card highly recommend smartphone user,29
59,4,great deal much faster file movementdefinitely worth purchase sandisk prove good products,12
60,4,youll pay 10 anywhere else initially leery buy another sd card amazon 4 years ago card fake say 32 gigs plug computer could load 11 onto would say 34full34 apparently theres way fool computer think theres space fakecounterfeit card donot one real deal genuine sandisk contain many gb say im please customer,52
61,4,use samsung galaxy s4 almost year problems really expand memory capabilities easy enough install,14
62,4,32gb storage new asus tablet whats love cant imagine pay model upgrade storage especially since usually like 100 thing cheap work great,22
63,4,excellent quality excellent speed complaints easy use reliable red stripe front make easy find crowd desk,16
64,2,card advertise uhs1 actually uhs50this mean go sdr104 speedsthroughputnot necessary bad false advertise,13
65,4,purchase hp tablet memory music download picture video enough room store memory leave,13
66,4,anything wrong sandisk product items read sooooo quickly quite happy,10
67,4,lot people want big memory fine need look speed class one class 10 great take picture video freeze move mbs fast enough lesser speed card freeze say wait camera miss moment also sandisk name trust come memory card,38
68,4,fast transfer rat download 2gb videos form card laptop card reader minute,12
69,4,something say sandisk plug work ive never one doa memory issue throughout years camera storage products instal galaxy siii recognize right away able dump music onto speed seem great well complaints,31
70,4,praise extra memory fill mp3 player every song heart desire sound quality perfect ease use superb great,17
71,4,though state 16gig 148gig available know happen expect keep mind want storage might want order 32gig card exactly expect need complaints,21
72,4,job advertisedif need extra memory phonetablet whatever device bext buypricequality,10
73,4,need cell phone work perfectly sandisk never disappointment 30 plus years ive itcomputer work,14
74,4,price right memory card also read write fast noticeable difference cheaper card put phone plan buy another one tablet,19
75,4,work great sprint htc evo 4g lte format w fat32 course maximum file size 4gb mean full length hidef movies however isnt problem buy card put music library phonelike class 10 microsdhc card 10mbs closer class 10 card ive ever try 34mbs kingston 32gb 7mbs card 89mbscant wait till 128gb 256gb card become available affordable,55
