,idx,Review,Rating,Length
0,0,hide new secretions parental units,0,5
1,1,contain wit labor gag,0,4
2,2,love character communicate something rather beautiful human nature,1,8
3,3,remain utterly satisfy remain throughout,0,5
4,4,worst revengeofthenerds clichés filmmakers could dredge,0,6
5,5,far tragic merit superficial treatment,0,5
6,6,demonstrate director hollywood blockbusters patriot game still turn small personal film emotional wallop,1,13
7,7,saucy,1,1
8,8,depress fifteenyearold suicidal poetry,0,4
9,9,deeply think rightthinking film,1,4
10,10,go absurd lengths,0,3
11,11,moviegoers complain nt make movies like use anymore,0,8
12,12,part nothing happen,0,3
13,13,saw bad movie,0,3
14,14,lend dignity dumb story,0,4
15,15,greatest musicians,1,2
16,16,cold movie,0,2
17,17,usual intelligence subtlety,1,3
18,18,redundant concept,0,2
19,19,swim young woman face cast actress whose face project woman doubt yearn succeed,1,13
20,20,equal original ways even better,1,5
21,21,anything see karen black camp storm fringe feminist conspiracy theorist name dirty dick,1,13
22,22,smile face,1,2
23,23,come brave uninhibited performances,1,4
24,24,excruciatingly unfunny pitifully unromantic,0,4
25,25,enrich imaginatively mix cast antic spirit,1,6
26,26,half dragonfly worse part nothing happen part something happen,0,9
27,27,world cinema,1,2
28,28,good view alternative,1,3
29,29,plot nothing boilerplate clichés start finish,0,6
30,30,action stilted,0,2
31,31,cylinders,1,1
32,32,find little interest film often preachy poorly act,0,8
33,33,far worst movie year,0,4
34,34,sit,0,1
35,35,another best man clone weave theme throughout funny film,1,9
36,36,issue adults face marriage think like real issue tuck silly crude storyline,1,12
37,37,heroes,1,1
38,38,oblivious existence film,0,3
39,39,sharply,1,1
40,40,entire point shaggy dog story course go nowhere classic nowheresville every sense,0,12
41,41,sometimes dry,0,2
42,42,come already recycle time care count,0,6
43,43,cover territory wit originality suggest fourth feature,1,7
44,44,40 million version game,0,4
45,45,gorgeous deceptively minimalist,1,3
46,46,cross swords best,1,3
47,47,fringe feminist conspiracy theorist,0,4
48,48,prove nt lose touch bring superb performance admittedly middle film,1,10
49,49,disappointments,0,1
50,50,horrors,0,1
51,51,muddle splash bloody beauty vivid scorsese ever give us,1,9
52,52,many pointless,0,2
53,53,beautifully,1,1
54,54,contrive wellworn situations,0,3
55,55,doa,0,1
56,56,poor ben bratt could nt find stardom mapquest email pointtopoint drive directions,0,12
57,57,subtle touch son room,1,4
58,58,start legend,1,2
59,59,far less sophisticate,0,3
60,60,rich vein funny stuff movie,1,5
61,61,apparent joy,0,2
62,62,shoot ugly digital video,0,4
63,63,sour little movie core exploration emptiness underlay relentless gaiety 1920 film end,0,12
64,64,though ford neeson capably hold interest thrill movie,0,8
65,65,pretty damn funny,1,3
66,66,never feel anything character,0,4
67,67,lousy one,0,2
68,68,corporate circus record industry current climate mergers downsize,0,8
69,69,storylines weave together skilfully magnificent swoop aerial shots breathtaking overall experience awesome,1,12
70,70,highlypraised disappointments,0,2
71,71,sound like cruel deception carry men marginal intelligence reactionary ideas women total lack empathy,0,14
72,72,seem fresh,1,2
73,73,dustbin history,0,2
74,74,director eastwood game,0,3
75,75,pay earnest homage turntablists,1,4
76,76,weak,0,1
77,77,skip dreck,0,2
78,78,contain laugh even less surprise,0,5
79,79,film affirm love power help people endure almost unimaginable horror,1,10
80,80,absolute joy,1,2
81,81,generate,1,1
82,82,like life nt much fun without highs low,1,8
83,83,base true historically significant story,1,5
84,84,wellrounded tribute,1,2
85,85,though many actors throw spark two first appear ca nt generate enough heat cold vacuum comedy start reaction,0,18
86,86,much like young robert deniro,1,5
87,87,khouri manage terrific flair keep extremes screwball farce bloodcurdling family intensity one continuum,1,13
88,88,fashion engross entertainment,1,3
89,89,spiffy animate feature,1,3
